ticket_id,description,timestamp,category
1,"Software crashed, urgent help needed!",2025-07-01 09:00,Software
2,"Password reset needed",2025-07-01 10:15,Account
3,"Server down, critical issue!",2025-07-01 11:30,Server
4,"Need help with login",2025-07-02 08:45,Account
5,"App not working, error 404",2025-07-02 12:00,Software
6,"Billing issue, please resolve",2025-07-02 14:20,Billing
7,"Urgent: Database access denied",2025-07-03 09:10,Database
8,"Feature request: add dark mode",2025-07-03 10:00,Feature
9,"App freezing on startup",2025-07-03 11:45,Software
10,"Payment not processed",2025-07-04 13:00,Billing
11,"Critical error in checkout",2025-07-04 15:30,Software
12,"Need assistance with setup",2025-07-05 09:30,Account
13,"Server timeout, urgent!",2025-07-05 11:00,Server
14,"Login page not loading",2025-07-06 10:15,Account
15,"App crashed during update",2025-07-06 12:45,Software
16,"Billing query: overcharged",2025-07-07 08:00,Billing
17,"VPN connection failed",2025-07-07 09:20,Network
18,"Urgent: data loss issue",2025-07-08 10:30,Database
19,"Feature not working as expected",2025-07-08 14:00,Software
20,"Help with account recovery",2025-07-09 11:10,Account
21,"Server maintenance required",2025-07-09 13:45,Server
22,"Software update failed",2025-07-09 15:20,Software
23,"Incorrect billing amount",2025-07-10 09:00,Billing
24,"Feature request: export data option",2025-07-10 10:30,Feature
25,"Database query running slow",2025-07-10 12:15,Database
26,"Unable to access account",2025-07-11 08:50,Account
27,"App crashes on specific page",2025-07-11 11:00,Software
28,"Network latency issue",2025-07-11 14:10,Network
29,"Payment gateway error",2025-07-12 09:25,Billing
30,"Server reboot needed",2025-07-12 12:40,Server
31,"Login credentials not working",2025-07-12 15:00,Account
32,"Software bug: incorrect data display",2025-07-13 10:00,Software
33,"Feature request: multi-user support",2025-07-13 11:30,Feature
34,"Database backup failed",2025-07-13 13:45,Database
35,"Billing dispute: refund request",2025-07-14 08:20,Billing
36,"App not syncing with server",2025-07-14 10:50,Software
37,"Network connection unstable",2025-07-14 12:00,Network
38,"Account verification issue",2025-07-15 09:15,Account
39,"Server overload, slow response",2025-07-15 11:30,Server
40,"Software error: missing files",2025-07-15 14:45,Software
41,"Feature request: custom notifications",2025-07-16 08:30,Feature
42,"Database access timeout",2025-07-16 10:20,Database
43,"Billing issue: double charge",2025-07-16 12:10,Billing
44,"App crashes during export",2025-07-17 09:40,Software
45,"Network firewall blocking access",2025-07-17 11:50,Network
46,"Account locked after failed attempts",2025-07-17 14:00,Account
47,"Server maintenance schedule needed",2025-07-18 08:15,Server
48,"Software update caused errors",2025-07-18 10:25,Software
49,"Feature request: offline mode",2025-07-18 12:30,Feature
50,"Database corruption detected",2025-07-19 09:00,Database
51,"Billing query: subscription renewal",2025-07-19 11:15,Billing
52,"App slow to load",2025-07-19 13:20,Software
53,"Network outage reported",2025-07-20 08:45,Network
54,"Account email update needed",2025-07-20 10:10,Account
55,"Server crash during peak hours",2025-07-20 12:00,Server
56,"Software bug: incorrect calculations",2025-07-21 09:30,Software
57,"Feature request: API integration",2025-07-21 11:45,Feature
58,"Database migration issue",2025-07-21 14:00,Database
59,"Billing error: wrong plan charged",2025-07-22 08:20,Billing
60,"App not responding to inputs",2025-07-22 10:35,Software
61,"Network security concern",2025-07-22 12:50,Network
62,"Account password reset failed",2025-07-23 09:10,Account
63,"Server disk space full",2025-07-23 11:25,Server
