ticket_id,description,timestamp,category,sentiment,sentiment_label,priority
1,software crashed urgent help needed,2025-07-01 09:00:00,Software,0.0,neutral,High
2,password reset needed,2025-07-01 10:15:00,Account,0.0,neutral,Low
3,server down critical issue,2025-07-01 11:30:00,Server,-0.07777777777777778,negative,High
4,need help with login,2025-07-02 08:45:00,Account,0.0,neutral,Medium
5,app not working error 404,2025-07-02 12:00:00,Software,0.0,neutral,High
6,billing issue please resolve,2025-07-02 14:20:00,Billing,0.0,neutral,Medium
7,urgent database access denied,2025-07-03 09:10:00,Database,0.0,neutral,High
8,feature request add dark mode,2025-07-03 10:00:00,Feature,-0.15,negative,High
9,app freezing on startup,2025-07-03 11:45:00,Software,0.0,neutral,Low
10,payment not processed,2025-07-04 13:00:00,Billing,0.0,neutral,Low
11,critical error in checkout,2025-07-04 15:30:00,Software,0.0,neutral,High
12,need assistance with setup,2025-07-05 09:30:00,Account,0.0,neutral,Medium
13,server timeout urgent,2025-07-05 11:00:00,Server,0.0,neutral,High
14,login page not loading,2025-07-06 10:15:00,Account,0.0,neutral,Low
15,app crashed during update,2025-07-06 12:45:00,Software,0.0,neutral,High
16,billing query overcharged,2025-07-07 08:00:00,Billing,0.0,neutral,Medium
17,vpn connection failed,2025-07-07 09:20:00,Network,-0.5,negative,High
18,urgent data loss issue,2025-07-08 10:30:00,Database,0.0,neutral,High
19,feature not working as expected,2025-07-08 14:00:00,Software,-0.1,negative,High
20,help with account recovery,2025-07-09 11:10:00,Account,0.0,neutral,Medium
21,server maintenance required,2025-07-09 13:45:00,Server,0.0,neutral,Low
22,software update failed,2025-07-09 15:20:00,Software,-0.5,negative,High
23,incorrect billing amount,2025-07-10 09:00:00,Billing,0.0,neutral,Low
24,feature request export data option,2025-07-10 10:30:00,Feature,0.0,neutral,Low
25,database query running slow,2025-07-10 12:15:00,Database,-0.30000000000000004,negative,High
26,unable to access account,2025-07-11 08:50:00,Account,-0.5,negative,High
27,app crashes on specific page,2025-07-11 11:00:00,Software,0.0,neutral,High
28,network latency issue,2025-07-11 14:10:00,Network,0.0,neutral,Medium
29,payment gateway error,2025-07-12 09:25:00,Billing,0.0,neutral,High
30,server reboot needed,2025-07-12 12:40:00,Server,0.0,neutral,Low
31,login credentials not working,2025-07-12 15:00:00,Account,0.0,neutral,High
32,software bug incorrect data display,2025-07-13 10:00:00,Software,0.0,neutral,Low
33,feature request multiuser support,2025-07-13 11:30:00,Feature,0.0,neutral,Low
34,database backup failed,2025-07-13 13:45:00,Database,-0.5,negative,High
35,billing dispute refund request,2025-07-14 08:20:00,Billing,0.0,neutral,Low
36,app not syncing with server,2025-07-14 10:50:00,Software,0.0,neutral,Low
37,network connection unstable,2025-07-14 12:00:00,Network,0.0,neutral,Low
38,account verification issue,2025-07-15 09:15:00,Account,0.0,neutral,Medium
39,server overload slow response,2025-07-15 11:30:00,Server,-0.30000000000000004,negative,High
40,software error missing files,2025-07-15 14:45:00,Software,-0.2,negative,High
41,feature request custom notifications,2025-07-16 08:30:00,Feature,0.0,neutral,Low
42,database access timeout,2025-07-16 10:20:00,Database,0.0,neutral,High
43,billing issue double charge,2025-07-16 12:10:00,Billing,0.0,neutral,Medium
44,app crashes during export,2025-07-17 09:40:00,Software,0.0,neutral,High
45,network firewall blocking access,2025-07-17 11:50:00,Network,0.0,neutral,Low
46,account locked after failed attempts,2025-07-17 14:00:00,Account,-0.5,negative,High
47,server maintenance schedule needed,2025-07-18 08:15:00,Server,0.0,neutral,Low
48,software update caused errors,2025-07-18 10:25:00,Software,0.0,neutral,High
49,feature request offline mode,2025-07-18 12:30:00,Feature,0.0,neutral,Low
50,database corruption detected,2025-07-19 09:00:00,Database,0.0,neutral,High
51,billing query subscription renewal,2025-07-19 11:15:00,Billing,0.0,neutral,Medium
52,app slow to load,2025-07-19 13:20:00,Software,-0.30000000000000004,negative,High
53,network outage reported,2025-07-20 08:45:00,Network,0.0,neutral,Low
54,account email update needed,2025-07-20 10:10:00,Account,0.0,neutral,Low
55,server crash during peak hours,2025-07-20 12:00:00,Server,0.0,neutral,High
56,software bug incorrect calculations,2025-07-21 09:30:00,Software,0.0,neutral,Low
57,feature request api integration,2025-07-21 11:45:00,Feature,0.0,neutral,Low
58,database migration issue,2025-07-21 14:00:00,Database,0.0,neutral,Medium
59,billing error wrong plan charged,2025-07-22 08:20:00,Billing,-0.5,negative,High
60,app not responding to inputs,2025-07-22 10:35:00,Software,0.0,neutral,Low
61,network security concern,2025-07-22 12:50:00,Network,0.0,neutral,Low
62,account password reset failed,2025-07-23 09:10:00,Account,-0.5,negative,High
63,server disk space full,2025-07-23 11:25:00,Server,0.35,positive,Low
64,software crash on mobile,2025-07-23 13:40:00,Software,0.0,neutral,High
65,feature request dashboard analytics,2025-07-24 08:30:00,Feature,0.0,neutral,Low
66,database query error,2025-07-24 10:45:00,Database,0.0,neutral,High
67,billing issue payment declined,2025-07-24 12:15:00,Billing,0.0,neutral,Medium
68,app freezing during sync,2025-07-25 09:00:00,Software,0.0,neutral,Low
69,network connectivity intermittent,2025-07-25 11:20:00,Network,0.0,neutral,Low
70,account twofactor authentication issue,2025-07-25 13:30:00,Account,0.0,neutral,Medium
71,software error ui not rendering,2025-07-25 15:45:00,Software,0.0,neutral,High
72,server response time slow,2025-07-26 08:10:00,Server,-0.30000000000000004,negative,High
73,billing query invoice not received,2025-07-26 10:25:00,Billing,0.0,neutral,Medium
74,feature request user profile customization,2025-07-26 12:40:00,Feature,0.0,neutral,Low
75,database connection refused,2025-07-26 14:55:00,Database,0.0,neutral,Low
76,account login timeout,2025-07-27 09:20:00,Account,0.0,neutral,High
77,app crash on specific device,2025-07-27 11:35:00,Software,0.0,neutral,High
78,network bandwidth issue,2025-07-27 13:50:00,Network,0.0,neutral,Medium
79,billing dispute unauthorized charge,2025-07-28 08:15:00,Billing,0.0,neutral,Low
80,server maintenance downtime,2025-07-28 10:30:00,Server,0.0,neutral,High
81,software bug data not saving,2025-07-28 12:45:00,Software,0.0,neutral,Low
82,feature request realtime updates,2025-07-29 09:00:00,Feature,0.0,neutral,Low
83,database performance degraded,2025-07-29 11:15:00,Database,0.0,neutral,Low
84,account access restricted,2025-07-29 13:30:00,Account,0.0,neutral,Low
85,app not loading images,2025-07-30 08:20:00,Software,0.0,neutral,Low
86,network proxy error,2025-07-30 10:35:00,Network,0.0,neutral,High
87,billing issue plan upgrade failed,2025-07-30 12:50:00,Billing,-0.5,negative,High
88,server crash during backup,2025-07-31 09:10:00,Server,0.0,neutral,High
89,software crash on new update,2025-07-31 11:25:00,Software,0.13636363636363635,positive,High
90,feature request mobile app support,2025-07-31 13:40:00,Feature,0.0,neutral,Low
91,database index error,2025-08-01 08:00:00,Database,0.0,neutral,High
92,account verification email not sent,2025-08-01 10:15:00,Account,0.0,neutral,Low
93,app slow during peak usage,2025-08-01 12:30:00,Software,-0.30000000000000004,negative,High
94,network connection dropped,2025-08-02 09:45:00,Network,0.0,neutral,Low
95,billing error incorrect discount,2025-08-02 11:00:00,Billing,0.0,neutral,High
96,server overload issue,2025-08-02 13:15:00,Server,0.0,neutral,Medium
97,software bug login loop,2025-08-03 08:20:00,Software,0.0,neutral,Low
98,feature request bulk data import,2025-08-03 10:35:00,Feature,0.0,neutral,Low
99,database backup restore failed,2025-08-03 12:50:00,Database,-0.5,negative,High
100,account password change issue,2025-08-04 09:10:00,Account,0.0,neutral,Medium
101,app not displaying data,2025-08-04 11:25:00,Software,0.0,neutral,Low
102,network latency during sync,2025-08-04 13:40:00,Network,0.0,neutral,Low
103,billing query payment refund,2025-08-05 08:00:00,Billing,0.0,neutral,Medium
104,server maintenance notification needed,2025-08-05 10:15:00,Server,0.0,neutral,Low
105,software crash on export,2025-08-05 12:30:00,Software,0.0,neutral,High
106,feature request custom reports,2025-08-06 09:45:00,Feature,0.0,neutral,Low
